restaurant_name,cuisine,rating,review_count,delivery_fee,delivery_time,address,restaurant_url,city,source_timestamp
KFC Brno Náměstí Svobody,,4.4,500+,18 Kč,15 to 20 minutes,,https://food.bolt.eu/en/456-brno/p/17933-kfc-brno-namesti-svobody/,Brno,2026-05-09T21:38:16.745186
McDonald's Náměstí Svobody,,4.4,500+,20 Kč,10 to 15 minutes,,https://food.bolt.eu/en/456-brno/p/18791-mcdonalds-namesti-svobody/,Brno,2026-05-09T21:38:16.745186
Pizza Bombastica Hybešova,,4.7,500+,24 Kč,15 to 20 minutes,,https://food.bolt.eu/en/456-brno/p/22084-pizza-bombastica-hybesova/,Brno,2026-05-09T21:38:16.745186
Burger King Brno Česká,,4.4,500+,24 Kč,15 to 20 minutes,,https://food.bolt.eu/en/456-brno/p/19067-burger-king-brno-ceska/,Brno,2026-05-09T21:38:16.745186
Việt Tám,,4.5,500+,24 Kč,20 to 25 minutes,,https://food.bolt.eu/en/456-brno/p/17344-viet-tam/,Brno,2026-05-09T21:38:16.745186
Himalaya restaurant,,4.5,500+,24 Kč,15 to 20 minutes,,https://food.bolt.eu/en/456-brno/p/19666-himalaya-restaurant/,Brno,2026-05-09T21:38:16.745186
Taiwan bento,,4.5,500+,24 Kč,15 to 20 minutes,,https://food.bolt.eu/en/456-brno/p/21688-taiwan-bento/,Brno,2026-05-09T21:38:16.745186
Pizza&burger Stefinie,,4.5,500+,24 Kč,20 to 25 minutes,,https://food.bolt.eu/en/456-brno/p/43240-pizzaburger-stefinie/,Brno,2026-05-09T21:38:16.745186
Pizzerie Omcia,,4.3,500+,24 Kč,15 to 20 minutes,,https://food.bolt.eu/en/456-brno/p/43636-pizzerie-omcia/,Brno,2026-05-09T21:38:16.745186
Kurdský Kebab Lidická,,4.2,500+,24 Kč,15 to 20 minutes,,https://food.bolt.eu/en/456-brno/p/19480-kurdsky-kebab-lidicka/,Brno,2026-05-09T21:38:16.745186
Indická & nepálská restaurace Buddha,,4.4,417,24 Kč,15 to 20 minutes,,https://food.bolt.eu/en/456-brno/p/78976-indicka-nepalska-restaurace-buddha/,Brno,2026-05-09T21:38:16.745186
House Of Hummus,,4.7,224,24 Kč,20 to 25 minutes,,https://food.bolt.eu/en/456-brno/p/114635-house-of-hummus/,Brno,2026-05-09T21:38:16.745186
